name,stage,amount_raised,current_investors,investment_sector,geography,date,website,Funding Announcment,ctvc_link
Shoreline,,4000000,The Ingenious Group; Blue Bear Capital; Alliance Venture,"Energy, Power & Storage",Norway,27-Apr-20,mountainviewamphitheater.com,https://www.shoreline.no/?ref=ctvc.co,https://www.ctvc.co//harvards-endowment-cuts-carbs/
Clearflame Engines,,3000000,Clean Energy Ventures,"Energy, Power & Storage",Illinois,27-Apr-20,,https://www.clearflameengines.com/?ref=ctvc.co,https://www.ctvc.co//harvards-endowment-cuts-carbs/
ampUp,,,SAIC Motor; Hyundai Motor; Forest Ventures; Other investors,Transportation & Mobility,"Cupertino, California",27-Apr-20,ampupmybiz.com,https://ampup.io/?ref=ctvc.co,https://www.ctvc.co//harvards-endowment-cuts-carbs/
Nio,Undisclosed,1000000000,,Transportation & Mobility,China,04-May-20,nios.ac.in,https://www.nio.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
Pivot Bio,Series C,100000000,Breakthrough Energy Ventures; Temasek; Prelude Ventures; DCVC,"Food, Agriculture & Forestry","Berkeley, CA",04-May-20,pivotbio.com,https://www.pivotbio.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
Inari,Undisclosed,45000000,,"Food, Agriculture & Forestry","Cambridge, MA",04-May-20,inaritea.com,https://www.inari.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
enVerid,Series B,20000000,Breakthrough Energy Ventures; Ajax Strategies; Building Ventures; OurCrowd,Buildings,"Westwood, MA",04-May-20,enverid.com,https://www.enverid.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
InnovoPro,Series B,15000000,Jerusalem Venture Partners,"Food, Agriculture & Forestry",Israel,04-May-20,innovopro.com,https://innovopro.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
AMPLY Power,Series A,13200000,Soros Fund Management; Siemens; Congruent Ventures; PeopleFund; Obvious Ventures,"Energy, Power & Storage","Los Angeles, CA",04-May-20,,https://www.amplypower.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
Vutiliti,Series A,11800000,Constellation Technology Ventures; Cycle Capital Management; Chevron Technology Ventures,Buildings,"Salt Lake City, Utah",04-May-20,,https://vutiliti.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
WindESCo,Series B,10000000,WAVE Equity Partners; Tenaska,"Energy, Power & Storage","Burlington, MA",04-May-20,windes.com,https://www.windesco.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
BrainBox AI,Undisclosed,8500000,Esplanade Ventures; Desjardins Capital,Buildings,Montreal,04-May-20,brainboxai.com,https://www.brainboxai.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
SensorFlow,Series A,8300000,Openspace Ventures; Gaw Capital Partners,Buildings,Singapore,04-May-20,sensorflow.co,https://www.sensorflow.co/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
Plantible Foods,Seed,4600000,Vectr Ventures; Lerer Hippeau,"Food, Agriculture & Forestry","Los Angeles, CA",04-May-20,plantiblefoods.com,https://www.plantiblefoods.com/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
Varden,Undisclosed,2200000,Horizons Ventures,"Waste, Plastic & Recycling",Australia,04-May-20,varden.no,https://varden.com.au/?ref=ctvc.co,https://www.ctvc.co//energy-watchdog-barks/
Sidewalk Infrastructure Partners,Series A,400000000,Google; Ontario Teachers Pension Plan,"Buildings; Energy, Power & Storage; Waste, Plastic & Recycling; Digital Infrastructure; Social Infrastructure",Not mentioned,11-May-20,sidewalkinfra.com,https://www.sidewalkinfra.com/?ref=ctvc.co,https://www.ctvc.co//oil-majors-vow-to-transform/
Lime,Undisclosed,170000000,Uber; Alphabet; Bain Capital Ventures; GV,Transportation & Mobility,"San Francisco, USA",11-May-20,limelush.com,https://www.li.me/en-US/home?ref=ctvc.co,https://www.ctvc.co//oil-majors-vow-to-transform/
RWDC Industries,Series B,133000000,Vickers Venture Partners; Swiss pension fund; Northeastern energy provider; Industrial chemical company owned by Koch Industries,"Waste, Plastic & Recycling","Athens, GA, USA",11-May-20,rwdc-industries.com,https://www.rwdc-industries.com/?ref=ctvc.co,https://www.ctvc.co//oil-majors-vow-to-transform/
ZAF Energy Systems,Series A,22000000,Élevage Capital Management; Catalus Capital; Holt Ventures; Coventry Asset Management,"Energy, Power & Storage","Montana, USA",11-May-20,zafsys.com,https://zafsys.com/?ref=ctvc.co,https://www.ctvc.co//oil-majors-vow-to-transform/
Oxwash,Seed,1700000,TrueSight Ventures; Founders Factory; Other angel investors,"Buildings; Waste, Plastic & Recycling",UK,11-May-20,oxwash.com,https://www.oxwash.com/?ref=ctvc.co,https://www.ctvc.co//oil-majors-vow-to-transform/
Renewance,Seed,100000,Clean Energy Trust,"Energy, Power & Storage","Chicago, USA",11-May-20,renewancebeauty.com,https://batterystewardship.com/?ref=ctvc.co,https://www.ctvc.co//oil-majors-vow-to-transform/
Iris Light Technologies,Seed,100000,Clean Energy Trust,"Energy, Power & Storage","Chicago, USA",11-May-20,irislighttech.com,https://www.irislighttech.com/?ref=ctvc.co,https://www.ctvc.co//oil-majors-vow-to-transform/
IRP Systems,Series B,17000000,Fosun RZ Capital; Champion Motors,Transportation & Mobility,Israel,18-May-20,irpsystems.com,https://www.prnewswire.com/news-releases/irp-systems-raises-17m-in-series-b-funding-to-bring-electric-vehicles-to-the-mass-market-301057468.html?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
VanMoof,,13500000,Balderton Capital; SINBON Electronics,Transportation & Mobility,Amsterdam,18-May-20,vanmoof.com,https://www.vanmoof.com/en-NL?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
Wallbox,Series A,13000000,Seaya Ventures; Endeavor Catalyst; Iberdrola,"Energy, Power & Storage",Barcelona,18-May-20,wallboxnow.de,https://wallbox.com/en_us/?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
Span,,10200000,ArcTern Ventures; Capricorn Investment Group; Incite Ventures; Congruent Ventures,Buildings,San Francisco,18-May-20,spanishdict.com,https://www.span.io/?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
The Yield,,7000000,Yamaha Motor Ventures; Bosch Group,"Food, Agriculture & Forestry",Sydney,18-May-20,theyieldlab.com,https://www.theyield.com/?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
Ecoinno,Series A,6000000,Alibaba,"Waste, Plastic & Recycling",Hong Kong,18-May-20,ecoig.com,http://www.ecoinno.com.hk/company.php?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
Intello Labs,Series A,5900000,Saama Capital; Omnivore; Nexus Venture Partners,"Food, Agriculture & Forestry",India,18-May-20,intellolabs.com,https://www.intellolabs.com/?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
Andes,Seed,3000000,KdT Ventures; Fondo Alerce Venture Capital,"Food, Agriculture & Forestry","Emeryville, CA",18-May-20,andesmar.com,https://www.andesag.com/?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
Transect,Seed,1500000,Blue Bear Capital; Holt Ventures; Gary Horn,Other,"San Antonio, Tx",18-May-20,transect.com,https://www.transect.com/?ref=ctvc.co,https://www.ctvc.co//what-can-ccs-learn/
Aspiration,Series C,135000000,Alpha Edison; UBS O’Connor; DNS Capital; Radicle Impact; Sutter Rock; Social Impact Finance,General Catalyst,Los Angeles,25-May-20,aspiration.com,https://www.aspiration.com/?utm_source=newsletter&utm_medium=email&utm_campaign=newsletter_axiosprorata&stream=top,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
Imperfect Foods,Series C,72000000,Insight Partners; Norwest Venture Partners,"Food, Agriculture & Forestry",San Francisco,25-May-20,imperfectfoods.com,https://www.imperfectfoods.com/?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
Checkerspot,,32900000,Breakout Ventures; Illumina; KdT Ventures,Other: CCUS,"Berkeley, CA",25-May-20,checkerspot.com,https://checkerspot.com/?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
Nanotech Energy,Series C,27500000,,"Energy, Power & Storage",Los Angeles,25-May-20,nanotechenergy.com,https://nanotechenergy.com/?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
Sound Agriculture,Series C,22000000,S2GVentures; Cultivian Sandbox; Fall Line Capital; Cavallo Ventures; Syngenta Ventures,"Food, Agriculture & Forestry","Emeryville, CA",25-May-20,sound.ag,https://www.sound-ag.com/?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
NextProtein,Series A,11000000,Blue Oceans Partners; Telos Impact; RAISE Impact,"Food, Agriculture & Forestry",Paris,25-May-20,nextprotein.co,http://nextprotein.co/?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
Apollo Agriculture,Series A,6000000,Anthemis; Leaps by Bayer; Accion Venture Lab; Flourish Ventures,"Food, Agriculture & Forestry",Kenya,25-May-20,apolloagriculture.com,https://www.apolloagriculture.com/?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
Tomato Jos,Series A,4200000,Goodwell Investments; Acumen Capital Partners; VestedWorld,"Food, Agriculture & Forestry",Nigeria,25-May-20,tomatojos.net,http://www.tomatojos.net/the-team?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
MicroGen Biotech,Series A,3800000,Fulcrum Global Capital; The Yield Lab Europe,"Food, Agriculture & Forestry",Ireland,25-May-20,,http://www.microgenbiotech.com/?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
InspiraFarms,Series B,,KawiSafi Ventures; Untapped; Energy Access Ventures; PYMWYMIC,"Buildings; Energy, Power & Storage; Waste, Plastic & Recycling; Food, Agriculture & Forestry; Industrial Processes & Management; Transportation & Mobility; General Catalyst; Other; Other: CCUS",London,25-May-20,inspirafarms.com,https://www.inspirafarms.com/?ref=ctvc.co,https://www.ctvc.co//stripes-first-carbon-negative-emissions-purchase/
Apeel Sciences,Undisclosed,250000000,GIC; Viking Global Investors; Upfront Ventures; Tao Capital Partners; Rock Creek Group; Oprah Winfrey; Katy Perry,"Food, Agriculture & Forestry","Santa Barbara, CA",01-Jun-20,,https://apeelsciences.com/'?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
Commonwealth Fusion Systems,Series A2,84000000,Temasek; Equinor; Breakthrough Energy Ventures; Khosla Ventures; The Engine,"Energy, Power & Storage","Cambridge, Mass.",01-Jun-20,cfs.energy,https://cfs.energy/?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
SmartRent,Series C,60000000,Spark Capital; Fifth Wall; Energy Impact Partners; Amazon Alexa Fund; Bain Capital Ventures,Buildings,"Scottsdale, Ariz.",01-Jun-20,smartrent.com,https://smartrent.com/?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
Dishcraft Robotics,Series B,20000000,Grit Ventures; First Round Capital; Baseline Ventures; Fuel Capital,"Waste, Plastic & Recycling","San Carlos, CA",01-Jun-20,,https://dishcraft.com/?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
Nautilus Data Technologies,Undisclosed,100000000,Orion Energy Partners,"Energy, Power & Storage","Pleasanton, CA",01-Jun-20,nautilusdt.com,https://www.nautilusdt.com/?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
BeeHero,Seed,4000000,Rabobank’s Food & Agricultural Innovation Fund; Plug and Play,"Food, Agriculture & Forestry","Palo Alto, CA",01-Jun-20,beehero.io,https://techcrunch.com/2020/05/28/beehero-smartens-up-hives-to-provide-pollination-as-a-service-with-4m-seed-round/?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
Saturas,Series B,3000000,Gefen Capital; Hubei Forbon Technology; Trendlines Agrifood Fund,"Food, Agriculture & Forestry",Israel,01-Jun-20,saturas-ag.com,http://saturas-ag.com/?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
Rise Gardens,Seed,2600000,True Ventures,"Food, Agriculture & Forestry",Chicago,01-Jun-20,risegardens.com,https://risegardens.com/?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
Greyparrot,Seed,2200000,Speedinvest; Force Over Mass,"Waste, Plastic & Recycling",London,01-Jun-20,greyparrot.ai,https://greyparrot.ai/?ref=ctvc.co,https://www.ctvc.co//will-green-stimulus-replace-un/
Climeworks,Undisclosed,76000000,,"Energy, Power & Storage",Switzerland,08-Jun-20,climeworks.com,https://www.climeworks.com/?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
LanzaTech,Undisclosed,50000000,Suncor Energy; All Nippon Airways; Mitsui & Co.; US Department of Energy,"Energy, Power & Storage",Chicago,08-Jun-20,lanzatech.com,https://www.lanzatech.com/?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
Tembici,Series B,47000000,Valor Capital; Redpoint eventures; IFC,Transportation & Mobility,Brazil,08-Jun-20,tembici.com.br,https://tembici.com.br/?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
Beam,Series A,26000000,Sequoia India; Hana Ventures,Transportation & Mobility,Singapore,08-Jun-20,beamng.com,https://www.ridebeam.com/?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
Atom Power,Series B,17800000,Valor Equity Partners; Rockwell Automation; ABB Technology Ventures,"Energy, Power & Storage","Charlotte, NC",08-Jun-20,atompower.com,https://www.atompower.com/?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
Superpedestrian,,15000000,Edison Partners; Spark Capital; General Catalyst,Transportation & Mobility,Boston,08-Jun-20,superpedestrian.com,https://www.superpedestrian.com/en?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
Zeleros,,7000000,Altran; Road Ventures; Plug and Play; Angels Capital,Transportation & Mobility,Spain,08-Jun-20,zeleros.com,https://zeleros.com/?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
SwitchDin,,3500000,QCELLS,"Energy, Power & Storage",Australia,08-Jun-20,switchdin.com,https://www.switchdin.com/?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
Propagate Ventures,Seed,1500000,Neglected Climate Opportunities,"Food, Agriculture & Forestry",Not specified,08-Jun-20,,https://www.propagateventures.com/?ref=ctvc.co,https://www.ctvc.co//standing-up-for-racial-and-climate/
Xiaolinggou,Series A,97000000,Ningbo Yincheng Group; Hangzhou Puzhao Technology,Transportation & Mobility,China,15-Jun-20,,https://www.dealstreetasia.com/stories/geelys-unit-xiaolinggou-series-a-192060/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
MycoTechnology,Series D,39000000,"Greenleaf Foods, SPC; S2G Ventures; Evolution Partners","Food, Agriculture & Forestry","Denver, CO",15-Jun-20,mycoiq.com,http://redesign.mycotechcorp.com/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
Lilium,Undisclosed,35000000,Baillie Gifford,Transportation & Mobility,Munich,15-Jun-20,lilium.com,https://lilium.com/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
Ontruck,Series B,19300000,OGCI Climate Investments; Cathay Innovation; Atomico; Idinvest Partners; Total Ventures; Endeavor Catalyst,Transportation & Mobility,Madrid,15-Jun-20,ontruck.com,https://ontruck.com/uk/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
Quaise,Seed,6000000,The Engine; Vinod Khosla; Collaborative Fund,"Energy, Power & Storage","Cambridge, MA",15-Jun-20,quaise.energy,https://www.engine.xyz/founders/quaise/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
Protera,Series A,5600000,Sofinnova Partners; SOSV,"Food, Agriculture & Forestry",Chile,15-Jun-20,protera.com,https://www.proterabio.com/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
ECOncrete,Series A,5000000,Bridges Israel; RElab (Goldacre Ventures),Buildings,Israel,15-Jun-20,econcretetech.com,https://econcretetech.com/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
Sun Exchange,Series A,3000000,ARCH Emerging Markets Partners,"Energy, Power & Storage",South Africa,15-Jun-20,sunexchange.us,https://thesunexchange.com/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
Clean Crop Technologies,Seed,2800000,Prime Impact Fund; Factor[e] Ventures; Alchemy Fund,"Food, Agriculture & Forestry","Northampton, MA",15-Jun-20,cleancroptech.com,https://cleancroptech.com/?ref=ctvc.co,https://www.ctvc.co//will-the-rubber-meet-the-road/
QuantumScape,Undisclosed,200000000,Volkswagen,"Energy, Power & Storage","San Jose, CA",22-Jun-20,quantumscape.com,https://www.quantumscape.com/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
BYD,Series A+,113000000,Warren Buffet,Transportation & Mobility,China,22-Jun-20,bydesign.com,http://www.byd.com/en/CompanyIntro.html?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
GreenLight Biosciences,Series D,102000000,Morningside Ventures; S2G Ventures; Tao Capital Partners; Baird Capital,Industrial Processes & Management,"Boston, MA",22-Jun-20,greenlightbiosciences.com,https://www.greenlightbiosciences.com/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
Zero Mass Water,Series C1,50000000,BlackRock; Duke Energy; Breakthrough Energy Ventures; Material Impact Fund,"Energy, Power & Storage","Scottsdale, AZ",22-Jun-20,,https://www.zeromasswater.com/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
Tropic Bioscience,Series B,28500000,Temasek; Sumitomo Corporation Europe; Genoa Ventures; Agronomics,"Food, Agriculture & Forestry",UK,22-Jun-20,,https://www.tropicbioscience.com/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
DroneBase,Undisclosed,7500000,Valor Equity Partners; Union Square Ventures; Upfront Ventures,"Energy, Power & Storage","Los Angeles, CA",22-Jun-20,dronebase.it,https://dronebase.com/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
Copenhagen Infrastructure Partners,Undisclosed,1700000000,,"Energy, Power & Storage",Unknown,22-Jun-20,cip.com,http://cipartners.dk/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
Unilever,Undisclosed,1100000000,,General Catalyst,Unknown,22-Jun-20,unilever.com,https://www.unilever.com/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
Pale Blue Dot,Undisclosed,53000000,,General Catalyst,Sweden,22-Jun-20,palebluedot.tv,http://paleblue.vc/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
Prime Impact Fund,Undisclosed,50000000,,General Catalyst,"Cambridge, MA",22-Jun-20,primeimpactfund.com,https://primecoalition.org/?ref=ctvc.co,https://www.ctvc.co//the-importance-of-catalytic-capital/
Indigo Ag,Series F,300000000,Flagship Pioneering; Alaska Permanent Fund; Riverstone Holdings,"Food, Agriculture & Forestry","Boston, MA",29-Jun-20,indigoag.com,https://www.indigoag.com/about?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
Enko Chem,Series B,45000000,Bill & Melinda Gates Foundation; Anterra Capital; Rabo Food & Agri Innovation Fund; Finistere Ventures,"Food, Agriculture & Forestry","Boston, MA",29-Jun-20,,https://www.enkochem.com/?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
Quidnet Energy,Series B,10000000,Breakthrough Energy Ventures; Evok Innovations; Trafigura; Grantham Environmental Trust,"Energy, Power & Storage","Houston, TX",29-Jun-20,quidnetenergy.com,http://www.quidnetenergy.com/?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
Worn Again,,9000000,H&M; Sulzer,"Waste, Plastic & Recycling",London,29-Jun-20,wornagain.co.uk,https://wornagain.co.uk/?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
Connecterra,Series B,8800000,ADM Capital; Kersia; Pymwymic; Sistema VC,"Food, Agriculture & Forestry",Amsterdam,29-Jun-20,connecterra.io,https://www.connecterra.io/?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
SoilCarbon Co,Seed,6800000,Horizons Ventures; Grok Ventures; Lowercarbon Capital; Australian govt’s Clean Energy Finance Corporation,General Catalyst,Australia,29-Jun-20,soilcarbon.co,https://www.soilcarbon.co/?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
Satelytics,,5000000,BP Ventures,"Energy, Power & Storage","Toledo, Ohio",29-Jun-20,satelytics.com,https://www.satelytics.com/?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
Biomilq,Seed,3500000,Breakthrough Energy Ventures; Purple Orange Ventures; Blue Horizon Ventures; Happy Family Brands,"Food, Agriculture & Forestry","Durham, NC",29-Jun-20,biomilq.com,https://www.biomilq.com/?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
Energicity Corp,,3300000,Ecosystem Integrity Fund,"Energy, Power & Storage",Sierra Leone,29-Jun-20,energicitycorp.com,http://energicitycorp.com/?ref=ctvc.co#,https://www.ctvc.co//monitoring-earths-vital-signs/
Shiok Meats,Bridge,3000000,Agronomics; VegInvest; Impact Venture; Mindshift Capital Fund,"Food, Agriculture & Forestry",Singapore,29-Jun-20,shiokmeats.com,https://shiokmeats.com/?ref=ctvc.co,https://www.ctvc.co//monitoring-earths-vital-signs/
Carbon Clean Solutions,Series B,22000000,Equinor Ventures; ICOS Capital,"Energy, Power & Storage",London,06-Jul-20,,,https://www.ctvc.co//house-dems-turn-up-the-heat/
